Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
Abacus The Cafe & Restaurant,Gulshan,Buffet,3.8,1967,2,Star Center Plot -2A Block SE (C) Road 138 Ground & 1st Floor
Olive Garden,Gulshan,Chinese,3.8,345,2,House 37 Rd Number 35/A
STREET FOOD RESTAURANT,Banani,Bangladeshi,3.9,154,1,"House#25, 1st Floor, 10"
Tokyo Express,Gulshan,Japanese,4.2,1458,2,"House No: 16/B, Road No: 112"
Jatra Biroti Restaurant,Banani,Restaurant,4.2,1834,3,60 Kemal Ataturk Ave
Chows,Banani,Cantonese,4.2,748,3,6 Rd No. 19/A
Khushboo Restaurant,Gulshan,Restaurant,4.1,919,2,"House no 60/B, Road No 131, 2nd Floor, Gulshan-1"
China101,Banani,Asian,4.4,128,1,"House: 101, Road:13/A, Block:C"
Kabab Factory,Gulshan,Restaurant,4,745,3,"H.No, 9/A Rd 53"
Kiyoshi - Chef's Table,Gulshan,Japanese,4.1,15,1,Chef's Table  In Chef's Table
Wok & Fire,Gulshan,Restaurant,4.1,195,2,Rd 23
De La Mer,Banani,Sea-food,4.2,27,1,"House 116, Block E, B&B Empire, Rd No. 11"
Oriental Lounge,Banani,Restaurant,3.8,179,1,Road-12
"Spaghetti Jazz, Dhaka",Gulshan,Restaurant,4.2,739,3,"Rob Bhaban. Plot 3 ( 4th floor) , Gulshan circle II  In Rob Bhaban (Zaman Holdings)"
Goong The Castle,Banani,Korean,4.4,476,3,"House no: 88, 12/B Rd No. 50"
Saltz Fine Seafood,Banani,Restaurant,4.1,335,3,"House 23, Rd 99"
Tropical Bistro Restaurant & Lounge,Gulshan,Restaurant,4.4,17,1,"House No, 31/B Rd Number 35/A"
Hungry Pizza Lovers,Banani,Italian,5,1,1,"Block E, House, 22 Rd No 13C"
Sajna Restaurant,Banani,Indian,4.1,1709,2,House 14 Rd No. 11
Dhaba Banani,Banani,Restaurant,3.9,806,2,"House#91, Road#13/C, Block#E"
Kiyoshi,Gulshan,Japanese,4.5,632,3,"House No. 24, 4/B Road No 2, Gulshan-1"
Soi 71,Banani,Thai,4.2,895,2,"Level 1 Concord Baksh Tower, 11/A Kemal Ataturk Ave"
Gulshan Cuisine,Gulshan,Restaurant,3.5,6,1,"Gulshan Shopping Center, B 69/70  In Gulshan Shopping center"
32 Degree,Banani,Restaurant,4.7,9,1,"House-39, Shuvastu Jahanara Square, Block-H Rd No. 11"
Sultan's Dine Gulshan Branch,Gulshan,Bangladeshi,4.3,6121,2,"1st floor, Samsuddin Mansion, House: 41 Road: 52"
EL PATRON BD,Banani,Restaurant,4.3,165,1,Plot 6 Rd No. 19/A
The Manhattan FISH MARKET Bangladesh,Banani,Sea-food,4.3,3472,3,"Awal center, 34 Kemal Ataturk Ave"
Tarka,Banani,Indian,3.9,1603,2,"Level 8, House 1/H (ANZ Huq Eleven Square, রোড-১১  In Anz Huq Eleven Square"
Shaw's Steakhouse,Gulshan,Steak,3.9,825,3,"Eva Rose, House# 6/B, Road# 44, 6 Rd 44"
Rashna Bilash,Banani,Restaurant,4.4,91,1,"House no, 101 Rd No 13A"
Gulshan Restora & Catering,Gulshan,Bangladeshi,3.3,4,1,"House No: 4, Road No: 97, East Side Of Kacha Bazar Masjid, Gulshan- 2"
Thai Signatures,Gulshan,Thai,4.3,389,1,House 6/A Rd 113
El Toro Mexican Restaurant,Gulshan,Mexican,4.2,827,1,H # 9/A R # 36  In Gulshan-2 33/11 kV Sub-Station
Pinewood Cafe + Kitchen (Banani),Banani,Restaurant,4.4,750,2,"1213, House 48, Block E, Rd No 13C"
BFC,Banani,Fast Food,4.1,1941,2,"Genetic, House 25, Ground Floor, Rd No. 11"
