Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
KAHVE,Banani,Restaurant,4.3,122,1,"House no: 55, Block: E, Road no: 13E"
Cafe Euphoria Banani,Banani,Restaurant,4,192,2,100 Rd No. 11
Harivanga Restaurant,Banani,Restaurant,3.9,282,1,"D, Rd No 13"
Pizza Guy,Banani,Pizza,4.3,3459,2,"Ahmed Tower, H.No 28/30, Floor No 09, Kemal Ataturk Avenue"
Melange Coffee N Conversation,Banani,Restaurant,4.1,635,2,House 7 Rd No.24
Bluemoon Recreation Club,Banani,Restaurant,4.2,1327,1,"Plot 67/D, 3rd Floor, Green Delux Cross Point Road # 11,12, Block # E, Banani"
bbq Bangladesh Banani,Banani,Korean,4.2,675,3,"Block H, bbq, Navana Rowshan Sayed Plaza Level 2, Plot 47, Road 11"
Tree House,Banani,Restaurant,4.2,2075,2,"Banani 13/E , house #135 Opposite of Prescription Point, Rd No. 13E"
Pizza Inn,Banani,Pizza,4,1406,3,"House 84, Block D Rd No. 11"
KFD Express,Banani,Chinese,4.3,1475,2,"1st Floor, House 53, 11 Rd No 17"
Boomers Cafe,Banani,Restaurant,4.1,1575,2,"A.R Tower, (2nd Floor, 24 Kemal Ataturk Ave"
Soi 71,Banani,Thai,4.2,895,2,"Level 1 Concord Baksh Tower, 11/A Kemal Ataturk Ave"
Alfresco,Banani,Restaurant,4.2,2513,2,"84, Sky Lark 11 level 9, plot no Rd No. 11"
Yum Cha District Banani,Banani,Restaurant,4.4,2469,2,"House 25, 2nd Floor, BFC Building, Rd No. 11"
Chilis,Banani,Restaurant,4.3,89,1,2 Banani Bridge
STREET FOOD RESTAURANT,Banani,Bangladeshi,3.9,154,1,"House#25, 1st Floor, 10"
Jatra Biroti Restaurant,Banani,Restaurant,4.2,1834,3,60 Kemal Ataturk Ave
Chows,Banani,Cantonese,4.2,748,3,6 Rd No. 19/A
"Japanese Restaurant ICHI in Banani, Dhaka.",Banani,Japanese,4,268,3,"House No 32, Level- 2, Blok- G, Rd No. 11"
China101,Banani,Asian,4.4,128,1,"House: 101, Road:13/A, Block:C"
Pan Tao Thai Cuisine,Banani,Thai,4,617,1,"House No 42, Block- E, Road No 12, Banani"
Oriental Lounge,Banani,Restaurant,3.8,179,1,Road-12
Goong The Castle,Banani,Korean,4.4,476,3,"House no: 88, 12/B Rd No. 50"
Turkish Bazaar & Restaurant,Banani,Turkish,4.2,646,2,"House 48/E, Rd No 13C"
Saltz Fine Seafood,Banani,Restaurant,4.1,335,3,"House 23, Rd 99"
BFC,Banani,Fast Food,4.1,1941,2,"Genetic, House 25, Ground Floor, Rd No. 11"
Pinewood Cafe + Kitchen (Banani),Banani,Restaurant,4.4,750,2,"1213, House 48, Block E, Rd No 13C"
Sajna Restaurant,Banani,Indian,4.1,1709,2,House 14 Rd No. 11
Dhaba Banani,Banani,Restaurant,3.9,806,2,"House#91, Road#13/C, Block#E"
Rashna Bilash,Banani,Restaurant,4.4,91,1,"House no, 101 Rd No 13A"
Tarka,Banani,Indian,3.9,1603,2,"Level 8, House 1/H (ANZ Huq Eleven Square, রোড-১১  In Anz Huq Eleven Square"
The Manhattan FISH MARKET Bangladesh,Banani,Sea-food,4.3,3472,3,"Awal center, 34 Kemal Ataturk Ave"
EL PATRON BD,Banani,Restaurant,4.3,165,1,Plot 6 Rd No. 19/A
Smoke Music Cafe,Banani,FineDining,4.1,790,3,"Top Floor, HAKAM Foundation, House 98, Block C Rd No. 11"
Royal Thai Banani,Banani,Restaurant,4,239,1,Rd No 12A
Takeout Banani,Banani,Fast Food,4.4,5232,2,"Tower, 1st Floor, Plot No. 35, Abedin, Road No 17 Kamal Ataturk Ave"
Time Out,Banani,Restaurant,4.2,1362,2,"65E, House, Rd No. 19/A"
Royal Park Residence Hotel,Banani,Hotel,4.3,939,1,"House # 85, Block- A, Rd No. 25/A"
Lucknow Dhaka,Banani,Indian,4.2,1367,3,"E, 60 Kemal Ataturk Avenue"
Ginza,Banani,Restaurant,4.3,1508,2,"3rd Floor, 25 Rd No. 11"
Hotel Orchard Suites,Banani,Hotel,4,633,1,"House No. 90, Block C, Rd No 13A"
Authentic Kabab Express,Banani,Restaurant,4.2,511,1,House - 115 Road # 13
Salam's Kitchen,Banani,Bangladeshi,4.1,2584,2,"1st Floor, House 30, Block D, Road 10"
